Unique_No,Marca temporal,What is your gender?,What is your age? ,What is your height?,What_is_your_ape_index,How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How_many_years_have_you_been_climbing,Is/was any of your parents a climber?,Why do you climb? ,On_average_how_many_days_do_you_climb_in_a_week,How many of those are indoors?,How_many_of_those_do_you_consider_training_sessions?,"In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What_is_your_hardest_indoor_onsight/flash_boulder_grade,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,flash_confidence,send_confidence,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_flash_that? ,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_send_that? ,What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,How_do_you_project?,
7,05/02/2020 21:49,Female,25,166,0,53,Work parttime,Oceania,Australia,Around thrice a year,Trip that might have some climbing,Indoor climber,Boulderer,4,No,"Fun of the activity in itself, Health, The places it takes you, For the challenge",2,2,1,I just climb more,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strenght, Power endurance, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V2,V4,V0,V0,V2,V2,V2,V2,Stretch and warmup (before climbing),0,5.9 / 6a,5.10a / 6a+,5.10a / 6a+,5.10a / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I do not project,
8,05/02/2020 22:44,Female,26,163,-9,61,Work fulltime,Asia,Hong Kong,More than once per month,Trip that might have some climbing,Outdoor climber,Sports climber,1,No,"Fun of the activity in itself, Health",2,0,3,I do not train,I do not train,,I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian,Yes,"Climb easy problems, meant as a warmup",V3,V4,V0,V0,V2,V2,V2,V2,"Climb an easy route, meant as a warmup",4,5.10b / 6a+,5.10d / 6b+,5.10b / 6a+,5.11c / 6c+,Top-rope it first (sports),Usually 2 attempts per day,1st attempt of the day,I do not project,
11,05/02/2020 23:17,Male,23,180,0,70,Work fulltime,North America,Mexico,Never,Completely non-climbing trip,Indoor climber,Both rather equally,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you",3,3,3,I just climb more,1 to 2 hours,"Tope rope area (without autobelay), Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V6,V2,V3,V4,V5,V4,V5,Stretch and warmup (before climbing),3,5.10a / 6a+,5.11c / 6c+,5.9 / 6a,5.10b / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I do not project,
14,05/02/2020 23:30,Male,24,174,0,67,Study and work,Center or South America,Mexico,More than once per month,Trip that might have some climbing,Both rather equally,Sports climber,2,No,"Fun of the activity in itself, Health, For the challenge",2,1,1,I perform random exercises as they feel appropiate,1 to 2 hours,Tope rope area (without autobelay),I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Explosive power",Normal fit,Other,Yes,Stretch and warmup (before climbing),V3,V3,V3,V5,V3,V5,V3,V5,Stretch and warmup (before climbing),5,5.9 / 6a,5.10b / 6a+,5.9 / 6a,5.10a / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 1 one attempt per day,1st attempt of the day,I do not project,
16,05/02/2020 23:35,Female,29,168,-5,53,Work fulltime,Europe,Austria,Around every 2 months,Trip that might have some climbing,Indoor climber,Boulderer,4,No,"Fun of the activity in itself, Health, For the social part of climbing",2,2,0,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Core strenght, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V5,V6,V0,V0,V4,V5,V4,V5,Stretch and warmup (before climbing),5,5.10d / 6b+,5.11b / 6c,5.10c / 6b,5.11c / 6c+,Top-rope it first (sports),Usually 3 attempts per day,2nd attempt of the day,I do not project,
20,05/02/2020 23:42,Female,29,163,0,55,Work fulltime,North America,Mexico,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,3,No,"Fun of the activity in itself, For the social part of climbing, I don’t have anything more interesting to do lol",2,2,0,I just climb more,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Power endurance, Flexibility, Explosive power","Very tight, borderline painful, fit",Vegetarian,Yes,Stretch and warmup (before climbing),V2,V3,V1,V2,V1,V3,V1,V3,Stretch and warmup (before climbing),5,5.10d / 6b+,5.11c / 6c+,5.10d / 6b+,5.11d / 7a,Top-rope it first (sports),Usually 3 attempts per day,Random attempt,I do not project,
25,05/02/2020 23:49,Male,27,166,9,50,Work fulltime,North America,Mexico,Around twice a year,Completely a climbing trip,Outdoor climber,Sports climber,6,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,0,0,I do not train,I do not train,,I do not indoor climb,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V5,V9,V4,V8,V3,V6,V3,V6,"Climb an easy route, meant as a warmup",5,5.12c / 7b+,5.12c / 7b+,5.11d / 7a,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,3rd attempt of the day,I do not project,
27,05/02/2020 23:52,Male,26,188,2,81,Work fulltime,North America,Australia ,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,3,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V4,V0,V0,V3,V3,V3,V3,"Climb an easy route, meant as a warmup",6,5.11c / 6c+,5.11c / 6c+,5.10c / 6b,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I do not project,
29,06/02/2020 00:04,Male,48,187,0,73,Work fulltime,Europe,Georgia,Around once a year,Trip that might have some climbing,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you",2,1,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Cardio","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V0,V0,V0,V0,V0,V0,V0,V0,Stretch and warmup (before climbing),8,5.10b / 6a+,5.10d / 6b+,5.9 / 6a,5.10b / 6a+,Top-rope it first (sports),Usually 2 attempts per day,1st attempt of the day,I do not project,
35,06/02/2020 01:22,Female,26,158,0,58,Work fulltime,Center or South America,Mexico,Never,Completely non-climbing trip,Both rather equally,Both rather equally,5,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,2,1,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Core strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V3,V5,V2,V3,V2,V4,V2,V4,Stretch and warmup (before climbing),3,5.11a / 6b+,5.11b / 6c,5.10b / 6a+,5.10d / 6b+,Top-rope it first (sports),Usually 2 attempts per day,Random attempt,I do not project,
